from,to,x1,y1,x2,y2,strength
Aarau,Basel,8.0444448,47.3927146,7.5878261,47.5581077,6
Aarau,Bern,8.0444448,47.3927146,7.4515008,46.9482759,5
Aarau,Dübendorf,8.0444448,47.3927146,8.6180128,47.3971476,1
Aarau,Genève,8.0444448,47.3927146,6.1431577,46.2043907,2
Aarau,Lausanne,8.0444448,47.3927146,6.6322734,46.5196535,4
Aarau,Luzern,8.0444448,47.3927146,8.3093072,47.0501682,2
Aarau,St. Gallen,8.0444448,47.3927146,9.3765878,47.4250593,2
Aarau,Villigen PSI,8.0444448,47.3927146,8.2298436,47.5386046,1
Aarau,Zürich,8.0444448,47.3927146,8.541694,47.3768866,7
Affoltern am Albis,Bern,8.4521518,47.2782467,7.4515008,46.9482759,1
Affoltern am Albis,Villigen PSI,8.4521518,47.2782467,8.2298436,47.5386046,1
Allschwil,Basel,7.5361588,47.5517277,7.5878261,47.5581077,3
Allschwil,Bern,7.5361588,47.5517277,7.4515008,46.9482759,2
Allschwil,Dübendorf,7.5361588,47.5517277,8.6180128,47.3971476,1
Allschwil,Genève,7.5361588,47.5517277,6.1431577,46.2043907,1
Allschwil,Luzern,7.5361588,47.5517277,8.3093072,47.0501682,1
Allschwil,Villigen PSI,7.5361588,47.5517277,8.2298436,47.5386046,3
Allschwil,Zürich,7.5361588,47.5517277,8.541694,47.3768866,2
Basel,Bellinzona,7.5878261,47.5581077,9.0204562,46.1918617,2
Basel,Bern,7.5878261,47.5581077,7.4515008,46.9482759,61
Basel,Birmensdorf ZH,7.5878261,47.5581077,8.43963311704182,47.35195245,1
Basel,Canobbio,7.5878261,47.5581077,8.96715699495065,46.03721145,1
Basel,Carouge GE,7.5878261,47.5581077,6.1396839,46.1846691,1
Basel,Chêne-Bourg,7.5878261,47.5581077,6.19731,46.19735,1
Basel,Dübendorf,7.5878261,47.5581077,8.6180128,47.3971476,6
Basel,Einsiedeln,7.5878261,47.5581077,8.7500299,47.1286095,1
Basel,Epalinges,7.5878261,47.5581077,6.6726245,46.547327,6
Basel,Fribourg,7.5878261,47.5581077,7.16175552542195,46.8033192,12
Basel,Frick,7.5878261,47.5581077,8.0203065,47.5075081,1
Basel,Genève,7.5878261,47.5581077,6.1431577,46.2043907,36
Basel,Horgen,7.5878261,47.5581077,8.5976831,47.260692,1
Basel,Horw,7.5878261,47.5581077,8.3107797,47.0185008,1
Basel,Lausanne,7.5878261,47.5581077,6.6322734,46.5196535,40
Basel,Lausanne-Chuv,7.5878261,47.5581077,6.64113,46.5267,1
Basel,Liestal,7.5878261,47.5581077,7.7347783,47.4839723,6
Basel,Lugano,7.5878261,47.5581077,8.951052,46.0036778,5
Basel,Luzern,7.5878261,47.5581077,8.3093072,47.0501682,10
Basel,Müstair,7.5878261,47.5581077,10.445857,46.6261772,1
Basel,Muttenz,7.5878261,47.5581077,7.6477401,47.525113,1
Basel,Neuchâtel,7.5878261,47.5581077,6.9292732,46.9899874,7
Basel,Neuchâtel OFS,7.5878261,47.5581077,6.771555,46.9751954,1
Basel,Nyon,7.5878261,47.5581077,6.2398898,46.3821531,2
Basel,Olten,7.5878261,47.5581077,7.9053185,47.3507365,5
Basel,Payerne,7.5878261,47.5581077,6.939126,46.8208047,2
Basel,Porrentruy,7.5878261,47.5581077,7.0757801,47.4170492,1
Basel,Pratteln,7.5878261,47.5581077,7.6944741,47.5192013,1
Basel,Prilly,7.5878261,47.5581077,6.6113784,46.5374332,2
Basel,Renens VD,7.5878261,47.5581077,6.57887031604434,46.5370126,1
Basel,Rüschlikon,7.5878261,47.5581077,8.5529459,47.3063522,2
Basel,Schlieren,7.5878261,47.5581077,8.4444861,47.3965147,2
Basel,Sempach Stadt,7.5878261,47.5581077,8.1931005,47.1361596,1
Basel,Sion,7.5878261,47.5581077,7.3588795,46.2311749,1
Basel,St. Gallen,7.5878261,47.5581077,9.3765878,47.4250593,11
Basel,Verscio,7.5878261,47.5581077,8.7311841,46.18599,1
Basel,Villigen PSI,7.5878261,47.5581077,8.2298436,47.5386046,7
Basel,Winterthur,7.5878261,47.5581077,8.7291495,47.4991692,2
Basel,Yverdon,7.5878261,47.5581077,6.6349038,46.7610069,1
Basel,Zug,7.5878261,47.5581077,8.5154946,47.1661672,1
Basel,Zürich,7.5878261,47.5581077,8.541694,47.3768866,90
Basel,Zürich Helsana Versicherungen AG,7.5878261,47.5581077,8.544036,47.377503,2
Basel,Zurzach,7.5878261,47.5581077,8.2944691,47.5865624,1
Bellinzona,Bern,9.0204562,46.1918617,7.4515008,46.9482759,3
Bellinzona,Dübendorf,9.0204562,46.1918617,8.6180128,47.3971476,1
Bellinzona,Epalinges,9.0204562,46.1918617,6.6726245,46.547327,1
Bellinzona,Fribourg,9.0204562,46.1918617,7.16175552542195,46.8033192,1
Bellinzona,Genève,9.0204562,46.1918617,6.1431577,46.2043907,2
Bellinzona,Lausanne,9.0204562,46.1918617,6.6322734,46.5196535,2
Bellinzona,Liestal,9.0204562,46.1918617,7.7347783,47.4839723,1
Bellinzona,Lugano,9.0204562,46.1918617,8.951052,46.0036778,1
Bellinzona,Luzern,9.0204562,46.1918617,8.3093072,47.0501682,1
Bellinzona,St. Gallen,9.0204562,46.1918617,9.3765878,47.4250593,1
Bellinzona,Zürich,9.0204562,46.1918617,8.541694,47.3768866,4
Bern,Bern UPD,7.4515008,46.9482759,7.48300189018832,46.96612025,7
Bern,Biel/Bienne,7.4515008,46.9482759,7.2585667,47.1420451,2
Bern,Birmensdorf ZH,7.4515008,46.9482759,8.43963311704182,47.35195245,5
Bern,Cadenazzo,7.4515008,46.9482759,8.9458703,46.1509697,2
Bern,Canobbio,7.4515008,46.9482759,8.96715699495065,46.03721145,1
Bern,Carouge,7.4515008,46.9482759,6.1396839,46.1846691,2
Bern,Carouge GE,7.4515008,46.9482759,6.1396839,46.1846691,1
Bern,Chêne-Bourg,7.4515008,46.9482759,6.19731,46.19735,1
Bern,Davos Dorf,7.4515008,46.9482759,9.8387391,46.8048524,1
Bern,Davos Platz,7.4515008,46.9482759,9.8181248,46.7947944,1
Bern,Delémont,7.4515008,46.9482759,7.3451555,47.365837,1
Bern,Dübendorf,7.4515008,46.9482759,8.6180128,47.3971476,9
Bern,Epalinges,7.4515008,46.9482759,6.6726245,46.547327,4
Bern,Ettenhausen TG,7.4515008,46.9482759,8.8980463,47.4780375,3
Bern,Fribourg,7.4515008,46.9482759,7.16175552542195,46.8033192,12
Bern,Frick,7.4515008,46.9482759,8.0203065,47.5075081,4
Bern,Genève,7.4515008,46.9482759,6.1431577,46.2043907,53
Bern,Granges-Paccot,7.4515008,46.9482759,7.1403764,46.823134,1
Bern,Hinterkappelen,7.4515008,46.9482759,7.3774383,46.967846,1
Bern,Horw,7.4515008,46.9482759,8.3107797,47.0185008,1
Bern,Langenthal,7.4515008,46.9482759,7.7888427,47.2115846,1
Bern,Lausanne,7.4515008,46.9482759,6.6322734,46.5196535,61
Bern,Liebefeld,7.4515008,46.9482759,7.4204692,46.9322404,3
Bern,Liestal,7.4515008,46.9482759,7.7347783,47.4839723,3
Bern,Lugano,7.4515008,46.9482759,8.951052,46.0036778,8
Bern,Luzern,7.4515008,46.9482759,8.3093072,47.0501682,18
Bern,Magglingen/Macolin,7.4515008,46.9482759,7.2141817,47.1392888,1
Bern,Meyrin,7.4515008,46.9482759,6.0817791,46.2328413,1
Bern,Muttenz,7.4515008,46.9482759,7.6477401,47.525113,1
Bern,Neuchâtel,7.4515008,46.9482759,6.9292732,46.9899874,5
Bern,Neuchâtel OFS,7.4515008,46.9482759,6.771555,46.9751954,2
Bern,Nottwil,7.4515008,46.9482759,8.1359343,47.1347804,1
Bern,Olten,7.4515008,46.9482759,7.9053185,47.3507365,4
Bern,Payerne,7.4515008,46.9482759,6.939126,46.8208047,2
Bern,Prilly,7.4515008,46.9482759,6.6113784,46.5374332,1
Bern,Rüschlikon,7.4515008,46.9482759,8.5529459,47.3063522,1
Bern,Schlieren,7.4515008,46.9482759,8.4444861,47.3965147,1
Bern,Schwerzenbach,7.4515008,46.9482759,8.6544519,47.380845,1
Bern,Sierre,7.4515008,46.9482759,7.5323195,46.2922522,1
Bern,Sion,7.4515008,46.9482759,7.3588795,46.2311749,1
Bern,Spiez,7.4515008,46.9482759,7.6774655,46.6919473,1
Bern,St. Gallen,7.4515008,46.9482759,9.3765878,47.4250593,11
Bern,Thun,7.4515008,46.9482759,7.628086,46.7582827,1
Bern,Uster,7.4515008,46.9482759,8.7179221,47.3512065,1
Bern,Verscio,7.4515008,46.9482759,8.7311841,46.18599,1
Bern,Versoix,7.4515008,46.9482759,6.168958,46.2767572,2
Bern,Villigen PSI,7.4515008,46.9482759,8.2298436,47.5386046,9
Bern,Wädenswil,7.4515008,46.9482759,8.6718189,47.2296871,2
Bern,Winterthur,7.4515008,46.9482759,8.7291495,47.4991692,2
Bern,Yverdon,7.4515008,46.9482759,6.6349038,46.7610069,1
Bern,Yverdon-les-Bains,7.4515008,46.9482759,6.6409158,46.7785711,1
Bern,Zollikofen,7.4515008,46.9482759,7.4576417,46.9959463,1
Bern,Zug,7.4515008,46.9482759,8.5154946,47.1661672,1
Bern,Zürich,7.4515008,46.9482759,8.541694,47.3768866,111
Bern,Zürich Helsana Versicherungen AG,7.4515008,46.9482759,8.544036,47.377503,1
Bern UPD,Lausanne,7.48300189018832,46.96612025,6.6322734,46.5196535,2
Bern UPD,Luzern,7.48300189018832,46.96612025,8.3093072,47.0501682,1
Bern UPD,Zürich,7.48300189018832,46.96612025,8.541694,47.3768866,1
Bern-Wabern,Dübendorf,7.4605554,46.9230742,8.6180128,47.3971476,1
Bern-Wabern,Villigen PSI,7.4605554,46.9230742,8.2298436,47.5386046,1
Biel/Bienne,Neuchâtel,7.2585667,47.1420451,6.9292732,46.9899874,2
Biel/Bienne,Zollikofen,7.2585667,47.1420451,7.4576417,46.9959463,1
Biel/Bienne,Zürich,7.2585667,47.1420451,8.541694,47.3768866,1
Birmensdorf ZH,Birmensdorf ZH Kaserne,8.43963311704182,47.35195245,8.4300158,47.3591073,1
Birmensdorf ZH,Davos Dorf,8.43963311704182,47.35195245,9.8387391,46.8048524,1
Birmensdorf ZH,Dübendorf,8.43963311704182,47.35195245,8.6180128,47.3971476,3
Birmensdorf ZH,Epalinges,8.43963311704182,47.35195245,6.6726245,46.547327,1
Birmensdorf ZH,Frick,8.43963311704182,47.35195245,8.0203065,47.5075081,1
