institute_place,y,x,size
Zürich,47.3768866,8.541694,427
Lausanne,46.5196535,6.6322734,314
Bern,46.9482759,7.4515008,245
Genève,46.2043907,6.1431577,235
Basel,47.5581077,7.5878261,180
Fribourg,46.8033192,7.16175552542195,86
Neuchâtel,46.9899874,6.9292732,61
Dübendorf,47.3971476,8.6180128,60
Villigen PSI,47.5386046,8.2298436,58
St. Gallen,47.4250593,9.3765878,37
Lugano,46.0036778,8.951052,32
Epalinges,46.547327,6.6726245,30
Luzern,47.0501682,8.3093072,29
Rüschlikon,47.3063522,8.5529459,19
Winterthur,47.4991692,8.7291495,19
Schlieren,47.3965147,8.4444861,15
Birmensdorf ZH,47.35195245,8.43963311704182,14
Chêne-Bourg,46.19735,6.19731,14
Wädenswil,47.2296871,8.6718189,13
Prilly,46.5374332,6.6113784,12
Sion,46.2311749,7.3588795,12
Liestal,47.4839723,7.7347783,11
Yverdon,46.7610069,6.6349038,11
Aarau,47.3927146,8.0444448,10
Carouge,46.1846691,6.1396839,10
Davos Dorf,46.8048524,9.8387391,10
Frick,47.5075081,8.0203065,10
Versoix,46.2767572,6.168958,10
Windisch,47.4793472,8.2179918,10
Bellinzona,46.1918617,9.0204562,8
Bern UPD,46.96612025,7.48300189018832,8
Martigny,46.103115,7.0727354,7
Nyon,46.3821531,6.2398898,7
Olten,47.3507365,7.9053185,7
Rapperswil SG,47.2269198,8.8245459,7
Canobbio,46.03721145,8.96715699495065,6
Chur,46.855515,9.5254066,6
Payerne,46.8208047,6.939126,6
Zollikofen,46.9959463,7.4576417,6
Allschwil,47.5517277,7.5361588,5
Biel/Bienne,47.1420451,7.2585667,5
Carouge GE,46.1846691,6.1396839,5
Uster,47.3512065,8.7179221,5
Davos Platz,46.7947944,9.8181248,4
Ettenhausen TG,47.4780375,8.8980463,4
Horw,47.0185008,8.3107797,4
Kastanienbaum,47.0130792,8.33487,4
Locarno,46.1669988,8.7942643,4
Muttenz,47.525113,7.6477401,4
Sierre,46.2922522,7.5323195,4
Delémont,47.365837,7.3451555,3
Liebefeld,46.9322404,7.4204692,3
Neuchâtel OFS,46.9751954,6.771555,3
Thun,46.7582827,7.628086,3
Zug,47.1661672,8.5154946,3
Cadenazzo,46.1509697,8.9458703,2
Emmenbrücke,47.0772338,8.275637,2
Givisiez,46.814593,7.1294701,2
Granges-Paccot,46.823134,7.1403764,2
Kreuzlingen,47.6464245,9.1725561,2
Lausanne-Chuv,46.5267,6.64113,2
Meyrin,46.2328413,6.0817791,2
Nottwil,47.1347804,8.1359343,2
Renens VD,46.5370126,6.57887031604434,2
Rorschach,47.4776304,9.5019983,2
Schwerzenbach,47.380845,8.6544519,2
Sempach Stadt,47.1361596,8.1931005,2
Solothurn,47.2081355,7.5384045,2
Thônex,46.1928374,6.202767,2
Yverdon-les-Bains,46.7785711,6.6409158,2
Zürich Helsana Versicherungen AG,47.377503,8.544036,2
Affoltern am Albis,47.2782467,8.4521518,1
Bern-Wabern,46.9230742,7.4605554,1
Birmensdorf ZH Kaserne,47.3591073,8.4300158,1
Bramois,46.2321819,7.4038983,1
Brugg AG,47.4824633,8.2085662,1
Contone,46.1487696,8.9261455,1
Einsiedeln,47.1286095,8.7500299,1
Ftan,46.7951677,10.2488557,1
Gattikon,47.2843053,8.5487611,1
Hinterkappelen,46.967846,7.3774383,1
Horgen,47.260692,8.5976831,1
Ittigen,46.9790726,7.4815213,1
Kilchberg ZH,47.3254261,8.54837504620962,1
Langenthal,47.2115846,7.7888427,1
Le Mont-sur-Lausanne,46.554765,6.640144,1
Magglingen/Macolin,47.1392888,7.2141817,1
Morges,46.5093268,6.498317,1
Münchenstein,47.5226485,7.6150661,1
Müstair,46.6261772,10.445857,1
Porrentruy,47.4170492,7.0757801,1
Posieux,46.7643272,7.09769,1
Pratteln,47.5192013,7.6944741,1
Romont FR,46.6986114,6.92302614864853,1
Sembrancher,46.0784832,7.1517153,1
Spiez,46.6919473,7.6774655,1
St-Maurice,46.2148346,7.0052877,1
St-Sulpice VD,46.5080244,6.5621163,1
Verscio,46.18599,8.7311841,1
Vevey,46.4634985,6.8427295,1
Viganello,46.0133003,8.9674303,1
Volketswil,47.3893142,8.6908127,1
Zurzach,47.5865624,8.2944691,1
